epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7361,1.79146,4.24022,1.55227,0.01538,0.45763,0.22079,0.11433,1.51615,3.4268,1.35996,0.00034296,0.00034296,0.00034296
2,17.9447,1.6957,2.73252,1.59291,0.01619,0.48588,0.19221,0.10155,1.66798,3.39673,1.47295,0.000694664,0.000694664,0.000694664
3,24.0638,1.58764,2.50379,1.46089,0.35764,0.14689,0.14257,0.06119,1.86555,3.34492,1.69643,0.00104071,0.00104071,0.00104071
4,30.3816,1.6378,2.36974,1.44611,0.36362,0.31073,0.26584,0.13824,1.71934,2.31471,1.59379,0.0013811,0.0013811,0.0013811
5,37.3556,1.68136,2.34385,1.51865,0.41914,0.26554,0.28463,0.14624,1.74914,2.68346,1.77191,0.00138373,0.00138373,0.00138373
6,43.3326,1.59952,2.18721,1.4508,0.41436,0.34463,0.31996,0.14671,1.77433,2.7858,1.7366,0.00137241,0.00137241,0.00137241
7,49.1009,1.61249,2.14309,1.45126,0.37651,0.36506,0.30157,0.16275,1.70852,2.42854,1.54967,0.00136109,0.00136109,0.00136109
8,54.8543,1.58034,2.06979,1.43995,0.46664,0.43503,0.44378,0.22371,1.68312,1.86565,1.51513,0.00134978,0.00134978,0.00134978
9,60.7065,1.59988,1.93954,1.44519,0.53367,0.50847,0.47419,0.25536,1.6741,1.68346,1.46825,0.00133846,0.00133846,0.00133846
10,66.441,1.55464,1.80778,1.42176,0.50447,0.42373,0.41539,0.23402,1.67697,1.82696,1.50093,0.00132714,0.00132714,0.00132714
11,72.0742,1.46295,2.20203,1.34759,0.43794,0.38418,0.3365,0.19331,1.68448,1.91346,1.53779,0.00131582,0.00131582,0.00131582
12,77.7789,1.55653,1.82507,1.41248,0.4809,0.40113,0.35504,0.19858,1.67067,1.85362,1.51144,0.00130451,0.00130451,0.00130451
13,83.5909,1.3757,1.66982,1.34523,0.40204,0.55367,0.43786,0.24269,1.58062,1.62981,1.46325,0.00129319,0.00129319,0.00129319
